game_id,title,developer,genre,release_date,release_month,release_day_of_week,price_usd,is_f2p,has_launch_discount,launch_discount_pct,tags,n_tags,has_early_access,has_multiplayer,has_controller_support,developer_prior_titles,developer_years_active,developer_avg_prior_rating,developer_is_established,wishlists,has_demo,demo_conversion_rate,marketing_score,reviews_24h,positive_ratio,peak_ccu_24h,review_velocity_per_hour,refund_rate,median_playtime_24h,launch_success_score
SG-0001,Dominion of Wasteland,Pixel Arts,Puzzle,2023-11-10,11,Friday,14.99,False,False,0,Relaxing|2D|Competitive|Sandbox|Bullet Hell|Sci-Fi,6,False,False,False,0,6,0.98,False,2423,False,,28.7,55,0.491,99,2.29,0.22,1.03,34.17
SG-0002,Protocol,Nova Software,Platformer,2022-06-26,6,Sunday,49.99,False,False,0,Retro|Exploration|City Builder|Singleplayer|Sandbox|Story Rich,6,False,False,False,6,7,0.621,True,1825,False,,86.1,11,0.662,50,0.46,0.152,1.85,42.48
SG-0003,Depths,Titan Labs,Horror,2021-07-15,7,Thursday,29.99,False,False,0,Atmospheric|2D|City Builder|Cute|Post-Apocalyptic,5,False,False,False,1,5,0.416,False,8064,False,,11.3,157,0.894,998,6.54,0.121,3.65,65.29
SG-0004,The Wasteland,Ember Productions,Strategy,2022-07-13,7,Wednesday,0.0,True,False,0,Real-Time|Tactical|Controller Support|Card Game|Online Co-op|Multiplayer,6,False,True,True,3,10,0.621,False,2756,True,0.191,41.7,13,0.522,129,0.54,0.185,2.01,38.98
SG-0005,Eternal Nexus,Storm Software,RPG,2020-03-04,3,Wednesday,19.99,False,True,25,Fantasy|Choices Matter|Open World|Turn-Based|Cute|Tactical|Singleplayer,7,False,False,False,1,4,0.939,True,6879,False,,62.7,238,0.762,348,9.92,0.114,3.81,62.07
SG-0006,Hollow Rift,Frost Works,Adventure,2021-03-12,3,Friday,14.99,False,False,0,Singleplayer|Cooking|Sandbox|Hack and Slash,4,False,False,False,0,6,0.352,False,18503,False,,43.1,570,0.699,1724,23.75,0.213,2.32,71.29
SG-0007,The Legacy,Silver Games,Roguelike,2020-12-20,12,Sunday,14.99,False,False,0,Procedural Generation|Pixel Graphics|2D|Fast-Paced|PvP|Souls-like|Sci-Fi,7,False,True,False,0,2,0.668,False,1946,False,,0.0,36,0.615,37,1.5,0.207,2.51,44.49
SG-0008,Rift of Citadel,Apex Labs,Racing,2022-11-01,11,Tuesday,14.99,False,False,0,Fast-Paced|3D|Competitive|PvP|Farming,5,False,True,False,1,8,0.603,False,1555,True,0.054,29.5,13,0.54,41,0.54,0.276,1.03,32.89
SG-0009,Haven of Citadel,Neon Creations,Indie,2023-02-26,2,Sunday,9.99,False,True,10,Atmospheric|Competitive|Dark|Open World|Moddable|Sci-Fi|Metroidvania|Sandbox,8,False,False,False,4,3,0.957,False,1800,False,,22.1,8,0.45,81,0.33,0.197,2.27,37.54
SG-0010,The Zenith,Crystal Digital,Sports,2022-11-05,11,Saturday,29.99,False,False,0,Multiplayer|Competitive|Controller Support|PvP|3D|Tower Defense,6,False,True,True,0,2,0.741,False,552,False,,24.1,6,0.715,24,0.25,0.1,3.97,50.29
SG-0011,Zenith of Depths,Lunar Workshop,Racing,2023-02-08,2,Wednesday,14.99,False,False,0,Multiplayer|Controller Support|3D|Narrative,4,False,True,True,9,6,0.67,True,658,False,,48.4,20,0.679,60,0.83,0.135,3.83,49.39
SG-0012,Eclipse,Ember Workshop,Action,2023-08-13,8,Sunday,9.99,False,True,20,Fast-Paced|3D|Competitive|Story Rich,4,False,False,False,0,19,0.709,False,26687,False,,72.0,754,0.726,1640,31.42,0.136,4.02,76.31
SG-0013,Realm of Citadel,Iron Arts,Indie,2021-02-19,2,Friday,14.99,False,False,0,Pixel Graphics|2D|Retro|Atmospheric|Narrative|Cute|VR,7,False,False,False,2,14,0.489,False,3936,False,,26.7,10,0.29,12,0.42,0.264,0.2,21.19
SG-0014,The Legends,Iron Games,Adventure,2021-09-19,9,Sunday,59.99,False,True,15,Story Rich|Singleplayer|Narrative|Controller Support|Cooking|Sandbox|Card Game|2D,8,False,False,True,1,2,0.654,False,154,False,,24.6,3,0.645,5,0.12,0.103,3.52,47.96
SG-0015,Iron Bastion,Azure Works,RPG,2023-01-28,1,Saturday,9.99,False,True,10,Story Rich|Fantasy|Open World|Turn-Based|Fishing|Co-op,6,False,True,False,1,1,0.581,False,1685,False,,24.4,9,0.51,29,0.38,0.221,1.78,36.35
SG-0016,Golden Haven,Frost Entertainment,RPG,2022-07-25,7,Monday,9.99,False,False,0,Fantasy|Open World|Turn-Based|VR|Post-Apocalyptic|Early Access,6,True,False,False,0,3,0.675,False,1197,True,0.095,61.2,42,0.767,52,1.75,0.148,2.21,48.7
